nombre,categoria,kcal_100g,proteina_100g,carbos_100g,grasa_100g,precio_kg,unidad_por_defecto,gramos_por_unidad
"Queso de bola",lacteo,393,25.4,0.36,32.2,,gramos,
"Queso de cabra curado",lacteo,339,19.4,0,29,,gramos,
"Queso de cabra tierno",lacteo,329,25.5,0.8,24.9,,gramos,
"Queso Edam",lacteo,200,14,2.5,14.9,,gramos,
"Queso en lonchas",lacteo,467,27.6,0,39.6,,gramos,
"Queso en porciones descremado",lacteo,327,18.3,0.1,28.2,,gramos,
"Queso Gorgonzola",lacteo,208,11.1,1.2,17.6,,gramos,
"Queso Gruyere",lacteo,392,21.5,0,34,,gramos,
"Queso Idiazábal",lacteo,356,25,1.4,27.8,,gramos,
"Queso manchego curado",lacteo,397,29,0,31.2,,gramos,
"Queso manchego semicurado",lacteo,391,28.8,0.5,30.4,,gramos,
"Queso Parmesano",lacteo,233,19.9,2.2,16.1,,gramos,
"Queso quark descremado",lacteo,375,35.6,0.06,25.8,,gramos,
"Queso ricotta",lacteo,71.3,7.8,3.5,2.9,,gramos,
"Queso Roquefort",lacteo,67.9,13.2,3.2,0.25,,gramos,
"Queso tetilla",lacteo,369,25,0.69,29.6,,gramos,
"Queso tipo petit de chocolate",lacteo,156,11.5,3.8,10.5,,gramos,
"Queso tipo petit natural azucarado",lacteo,448,24.7,0,38.8,,gramos,
"Queso zamorano",lacteo,369,21.5,2,30.6,,gramos,
"Arroz con leche",lacteo,399,22,0,34.5,,gramos,
"Crema de chocolate",lacteo,471,26.5,0,40.5,,gramos,
"Flan de huevo",lacteo,182,4.3,26.9,6.4,,gramos,
"Flan instantáneo en polvo",lacteo,122,7.5,14,4,,gramos,
"Helado cremoso",lacteo,177,4,21,8.6,,gramos,
"Helado de fresa",lacteo,191,3.8,18.5,11,,gramos,
"Mousse de chocolate",lacteo,186,3.2,24,8.4,,gramos,
"Natillas de chocolate",lacteo,199,3.9,21.5,10.8,,gramos,
"Batido de cacao",lacteo,103,3.7,15.5,2.9,,gramos,
"Batido de vainilla",lacteo,133,4.2,19.8,4.1,,gramos,
"Nata líquida para cocinar",lacteo,84,2.7,9.8,3.6,,gramos,
"Nata montada",lacteo,65.8,2.8,11,1,,gramos,
"Añojo de 2 y 3",carne,51.7,0.7,12,0.1,,gramos,
"Carne de vaca 2y3",carne,125,3.1,4.5,10.5,,gramos,
"Carne de vaca magra",carne,307,2.4,3.1,31.7,,gramos,
"Chuleta de ternera",carne,308,2.4,3.3,31.7,,gramos,
"Kebab, ternera",carne,216,18.9,2.2,14.6,,gramos,
"Rabo de toro",carne,120,16.6,0,6,,gramos,
"Solomillo de buey",carne,242,18.6,0,18.6,,gramos,
"Solomillo de vaca",carne,102,15.1,0,4.6,,gramos,
"Ternera magra",carne,104,18.2,0,3.5,,gramos,
"Bacon",carne,272,16.6,0,22.8,,gramos,
"Cerdo magro",carne,131,18.6,0,6.3,,gramos,
"Costilla de cerdo",carne,131,20.7,0,5.4,,gramos,
"Manita de cerdo",carne,205,20.6,0,13.6,,gramos,
"Panceta",carne,682,14.6,0,69.3,,gramos,
"Tocino",carne,219,17.5,0,16.5,,gramos,
"Paleta de cordero",carne,352,21.7,0,29.5,,gramos,
"Capón asado",carne,221,29,0,11.7,,gramos,
"Faisán entero",carne,110,22.4,0,2.3,,gramos,
"Muslo de pavo",carne,155,23.8,0,6.6,,gramos,
"Oca deshuesada sin piel",carne,232,17.3,0,18.1,,gramos,
"Paloma",carne,114,20.5,0,3.6,,gramos,
"Pavo",carne,183,20.6,0,11.2,,gramos,
"Pechuga de pollo",carne,155,22.8,0,7.1,,gramos,
"Solomillo de avestruz",carne,366,15.9,0,33.6,,gramos,
"Corazón de cerdo",carne,227,18.1,0,17.2,,gramos,
"Corazón de pollo",carne,157,20.2,0,8.5,,gramos,
"Hígado de cerdo",carne,105,24.1,0,0.99,,gramos,
"Hígado de pollo",carne,145,22.2,0,6.2,,gramos,
"Hígado de ternera",carne,136,19.4,4.2,4.6,,gramos,
"Lengua de buey",carne,130,19.5,5.3,3.4,,gramos,
"Lengua de cordero",carne,224,16,3.7,16.1,,gramos,
"Lengua de vaca",carne,157,16,0,10.3,,gramos,
"Molleja de ternera",carne,193,15.3,0,14.6,,gramos,
"Pulmón de cordero",carne,148,17.8,0,8.5,,gramos,
"Riñón de cerdo",carne,219,14.9,3.7,16.1,,gramos,
"Riñón de ternera",carne,131,15.3,0,7.8,,gramos,
"Seso de cerdo",carne,303,11.5,0,28.6,,gramos,
"Seso de ternera",carne,80.7,14.1,0,2.7,,gramos,
"Cabeza de jabalí",carne,87.3,16.2,0,2.5,,gramos,
"Chopped de cerdo",carne,102,16.9,0,3.8,,gramos,
"Foie gras",carne,90.3,16.5,0,2.7,,gramos,
"Fuet",carne,438,19.3,1.4,39.5,,gramos,
"Jamón cocido enlatado",carne,213,19.1,9.9,10.8,,gramos,
"Jamón serrano",carne,120,18.4,0,5.1,,gramos,
"Longaniza",carne,375,43.2,0.1,22.4,,gramos,
"Mortadela",carne,136,21.4,0,5.6,,gramos,
"Salami",carne,308,32,0,20,,gramos,
"Salchicha tipo Frankfurt",carne,348,25,0,27.5,,gramos,
"Sobrasada",carne,256,6.9,16.7,17.7,,gramos,
"Carne de caballo",carne,81.5,15.2,3.7,0.65,,gramos,
"Carne de conejo, grasa y magra",carne,444,21,1.7,39.2,,gramos,
"Conejo",carne,309,13.1,0.9,28.1,,gramos,
"Lomo de conejo",carne,243,13.1,1.4,20.5,,gramos,
"Venado magro deshuesado",carne,438,19.3,1.4,39.5,,gramos,
"Abadejo",pescado,84.4,17.5,0,1.6,,gramos,
"Bacalao fresco",pescado,79.8,17.7,0,1,,gramos,
"Breca",pescado,88.6,18.1,0,1.8,,gramos,
"Cazón",pescado,74.6,15.4,1,1,,gramos,
"Gallo",pescado,91.3,19,0,1.7,,gramos,
"Lubina",pescado,82.9,18.7,0,0.9,,gramos,
"Mero",pescado,230,18.1,1.3,16.9,,gramos,
"Panga",pescado,81.5,16.1,0,1.9,,gramos,
"Pescadilla",pescado,83.7,17.5,0.5,1.3,,gramos,
"Rape",pescado,97.9,19.3,0,2.3,,gramos,
"Rodaballo",pescado,63.8,11.9,0,1.8,,gramos,
"Angula",pescado,124,20.4,0.8,4.3,,gramos,
"Arenque",pescado,233,18.2,0,17.8,,gramos,
"Bonito",pescado,226,21.5,0,15.5,,gramos,
"Caballa",pescado,153,24.7,0,6,,gramos,
"Congrio",pescado,142,21.5,0.5,6,,gramos,
"Palometa",pescado,182,18.7,0,11.9,,gramos,
"Pez espada",pescado,114,18,0,4.7,,gramos,
"Salmonete",pescado,123,19,1.4,4.6,,gramos,
"Sargo",pescado,118,19.8,0.8,3.9,,gramos,
"Merluza congelada",pescado,79.8,11.4,1.8,3,,gramos,
"Anchoa en aceite",pescado,191,20.6,0,12.1,,gramos,
"Atún en aceite",pescado,109,18.7,0,3.8,,gramos,
"Bonito en aceite",pescado,157,18,0,9.4,,gramos,
"Caballa en aceite",pescado,217,22.5,0.6,13.8,,gramos,
"Sardina en escabeche",pescado,174,13.8,1.9,12.3,,gramos,
"Salmón ahumado",pescado,131,15,0.8,7.5,,gramos,
"Berberecho",pescado,140,25.4,0,4.3,,gramos,
"Calamar",pescado,76.6,15.4,1.5,1,,gramos,
"Centollo",pescado,82.6,16.9,1.5,1,,gramos,
"Cigala",pescado,83.5,15.9,0.7,1.9,,gramos,
"Langosta",pescado,80.6,16.3,0.7,1.4,,gramos,
"Mejillón",pescado,124,19.5,0,5.1,,gramos,
"Percebe",pescado,127,20.1,0,5.2,,gramos,
"Quisquilla",pescado,80.6,16.3,0.7,1.4,,gramos,
"Vieira",pescado,81.7,15.6,2.8,0.9,,gramos,
"Bacalao salado",pescado,322,75,0,2.4,,gramos,
"Berberecho en conserva",pescado,79.2,17.4,1.5,0.4,,gramos,
"Caballa ahumada",pescado,171,15,0.8,12,,gramos,
"Calamar en salsa americana",pescado,250,20.5,0,18.7,,gramos,
"Mejillón en conserva al natural",pescado,171,15,0.8,12,,gramos,
"Navaja en conserva",pescado,195,13.1,1.5,15.2,,gramos,
"Anca de rana",pescado,82.1,12,2,2.9,,gramos,
"Caviar",pescado,77.7,11.8,2,2.5,,gramos,
"Huevas frescas",pescado,89.2,20,0.05,1,,gramos,
"Azúcar blanco",otros,0,0,0,0.6,,gramos,
"Fructosa",otros,0.008,0.02,1,85,,gramos,
"Jalea real",otros,0,0,0,0.1,,gramos,
"Miel",otros,0,0,0,6,,gramos,
"Barra de chocolate tipo ""Mars""",otros,0.02,0,0,10,,gramos,
"Bombón",otros,0,0,0,74,,gramos,
"Dulce de leche",otros,321,5.2,62,5.6,,gramos,
"Merengue",otros,503,8,58.7,24.9,,gramos,
"Polvorón de almendra",fruto_seco,416,0,91.6,1.3,,gramos,
"Turrón de Jijona",otros,469,10,65.8,17.9,,gramos,
"Bizcocho de chocolate",otros,516,13,46,29.3,,gramos,
"Bollo",otros,488,13.2,34.7,31.1,,gramos,
"Bollo relleno de chocolate",otros,377,6,54,15,,gramos,
"Bollo tipo donut",otros,365,6.6,45,17,,gramos,
"Bollo tipo donut sin gluten",otros,298,6.4,61.3,2.7,,gramos,
"Croissant",otros,443,6.6,50.8,23,,gramos,
"Ensaimada",otros,346,9.7,46.5,13.2,,gramos,
"Medias noches",otros,403,3.9,50.6,20.1,,gramos,
"Palmera",otros,539,5,61,30,,gramos,
"Suizo",otros,465,6.5,53,25,,gramos,
"Valenciana",otros,401,5.5,48.4,20.1,,gramos,
"Galleta cubierta de chocolate",otros,430,5.1,53.1,20.9,,gramos,
"Galleta integral",otros,427,8.1,81.5,6.9,,gramos,
"Galleta tipo digestive",otros,491,6.9,60.4,24,,gramos,
"Galleta tipo María",otros,487,6.9,60.4,23.5,,gramos,
"Almendrado",fruto_seco,476,6.2,64,21,,gramos,
"Crema pastelería",otros,469,6.3,63,20.3,,gramos,
"Milhoja con nata y crema",otros,501,6.8,62.6,24.1,,gramos,
"Pastel de chocolate",otros,482,7.1,69,19,,gramos,
"Profiteroles con chocolate",otros,447,2.9,67.7,17.7,,gramos,
"Pudín de pasas",otros,211,4.6,24.7,9.7,,gramos,
"Tarta de frutas",otros,208,1.8,28.7,9.2,,gramos,
"Caramelo",otros,297,5.8,43,11,,gramos,
"Chicle sin azúcar",otros,382,0.4,95,0,,gramos,
"Regaliz",otros,390,0,96.7,0.3,,gramos,
"Aceite de cacahuete",fruto_seco,134,1,29.5,1.3,,gramos,
"Aceite de colza",grasa_aceite,323,3.9,71.5,1.9,,gramos,
"Aceite de girasol",grasa_aceite,900,0,0,100,,gramos,
"Aceite de lino",grasa_aceite,900,0,0,100,,gramos,
"Aceite de nuez",fruto_seco,900,0,0,100,,gramos,
"Aceite de oliva virgen",grasa_aceite,899,0,0,99.9,,gramos,
"Aceite de oliva virgen extra ecológico",grasa_aceite,899,0,0,99.9,,gramos,
"Aceite de semilla de uva",grasa_aceite,899,0,0,99.9,,gramos,
"Aceite de soja",grasa_aceite,900,0,0,100,,gramos,
"Mantequilla ligera",grasa_aceite,734,0.85,0.06,81.1,,gramos,
